Performance Efficiency,Data Type Integrity,Documentation,Encryption,Exception Handling,Format,Functional Semantics,Functional Syntax,Input/Output Handling,Resource Handling,Structure
Data Type Integrity,0.00,6,5,1/5,8,7,8,1/5,1/5,3
Documentation,0.00,0.00,1/5,1/9,1,1/5,1,1/9,1/9,1/7
Encryption,0.00,0.00,0.00,1/8,2,1,2,1/8,1/8,1/3
Exception Handling,0.00,0.00,0.00,0.00,9,8,5,1,1,6
Format,0.00,0.00,0.00,0.00,0.00,1/5,1,1/9,1/9,1/5
Functional Semantics,0.00,0.00,0.00,0.00,0.00,0.00,7,1/8,1/8,2
Functional Syntax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1/5,1/5,1/3
Input/Output Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6
Resource Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6
Structure,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00