Security,Data Type Integrity,Documentation,Encryption,Exception Handling,Format,Functional Semantics,Functional Syntax,Input Output Handling,Resource Handling,Structure
Data Type Integrity,0.00,8,1/3,1,9,9,8,1/3,1,9
Documentation,0.00,0.00,1/9,1/9,1,1,1/2,1/9,1/9,1
Encryption,0.00,0.00,0.00,3,9,9,9,1,3,9
Exception Handling,0.00,0.00,0.00,0.00,9,9,8,1/3,1,9
Format,0.00,0.00,0.00,0.00,0.00,1/5,1,1/9,1/9,1
Functional Semantics,0.00,0.00,0.00,0.00,0.00,0.00,5,1/9,1/9,9
Functional Syntax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1/9,1/7,1
Input Output Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,9
Resource Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9
Structure,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00