Maintainability,Dataflow,Design,Globalization,Interoperability,Maintainability,Mobility,Naming,Performance,Portability,Reliability,Security,Usage
Dataflow,0.00,0.11,1.00,1.00,0.13,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Design,0.00,0.00,8.00,7.00,0.50,8.00,7.00,9.00,7.00,8.00,1.00,8.00
Globalization,0.00,0.00,0.00,1.00,0.11,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Interoperability,0.00,0.00,0.00,0.00,0.13,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Maintainability,0.00,0.00,0.00,0.00,0.00,8.00,9.00,9.00,8.00,5.00,1.00,7.00
Mobility,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00
Naming,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00
Performance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00
Portability,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
Reliability,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Security,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Usage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00